Posicion,Jugador,Puntos,Sesiones jugadas,Promedio
1,BGM,4522,47,96
2,MACACOSKY,3315,46,72
3,YUN,2084,32,65
4,K6,1147,29,40
5,KMOTIN,1092,20,55
6,TOMDOM,991,20,50
7,ARSE07,970,13,75
8,SEBA08,849,19,45
9,FORRADO,779,24,32
10,MATI,748,10,75
11,LOQ,635,8,79
12,LUKADEON,621,14,44
13,GFORCE,604,5,121
14,ANTEL,566,8,71
15,VARSALICOO,561,11,51
16,WALELE,549,9,61
17,PROFE,517,8,65
18,MIGHTY,492,7,70
19,GG ,467,5,93
20,TONY HONK,465,6,78
21,BURDANG,406,6,68
22,HEAV,279,3,93
23,ESTEBANMZ,236,3,79
24,PIXULAKAWAI,212,4,53
25,OSVLDX,211,4,53
26,C.EMMANUEL,207,5,41
27,KIKI,192,3,64
28,CYKUTA,185,7,26
29,MICHEL,172,2,86
30,SIRIUS,157,6,26
31,LOPESCA,126,1,126
32,KENNETH,112,5,22
33,ARG SANTI,99,1,99
34,MODDY,63,1,63
35,STIFLER,56,1,56
36,CAPITAN BETO,52,1,52
37,DRACO,47,1,47
38,STINGOX,31,1,31
39,MMUD,31,1,31
40,FABRO,30,1,30
41,PANTHER,25,1,25
42,MAU Y RICKY,25,1,25
43,CORINGA,24,1,24
44,CHUECO,21,2,11
45,SARATHI123,16,1,16
46,PABLITO,16,1,16
47,JUANMILTON,16,1,16
48,PATAMALA,14,3,5
49,HOJAS NINJAS,13,1,13
50,SANTIAGO,10,2,5
51,SOUL,7,1,7
52,BTF,5,1,5
53,NAHALIEL,3,1,3
54,PANCITO,2,1,2
55,ELKYOXDYT,2,1,2
